"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","Mitochondrial fatty acid beta-oxidation","8/23","7.7219075309732869E-25","3.3204202383185137E-23","0","0","159816","8873074.7601671405","CPT1A;ACADVL;ECHS1;CPT2;ACADL;ACSL1;ACSL3;ACADS","FA-Oxidation","bioplanet"
"2","Fatty acid beta oxidation","8/34","2.8599320165720318E-23","6.1488538356298684E-22","0","0","159728","8291266.3302334575","CPT1A;ACADVL;ECHS1;CPT2;ACADL;ACSL1;ACSL3;ACADS","FA-Oxidation","bioplanet"
"3","Fatty acid metabolism","8/42","1.8593590591002756E-22","2.6650813180437284E-21","0","0","159664","7989050.1223953804","CPT1A;ACADVL;ECHS1;CPT2;ACADL;ACSL1;ACSL3;ACADS","FA-Oxidation","bioplanet"
"4","Fatty acid, triacylglycerol, and ketone body metabolism","8/173","2.6613783224163547E-17","2.8609816965975812E-16","0","0","158616","6053595.886400043","CPT1A;ACADVL;ECHS1;CPT2;ACADL;ACSL1;ACSL3;ACADS","FA-Oxidation","bioplanet"
"5","Lipid and lipoprotein metabolism","8/489","1.2068688400261396E-13","1.03790720242248E-12","0","0","156088","4642927.6132241115","CPT1A;ACADVL;ECHS1;CPT2;ACADL;ACSL1;ACSL3;ACADS","FA-Oxidation","bioplanet"
"6","Mitochondrial beta-oxidation of saturated fatty acids","4/8","7.3447652171120716E-13","5.2637484055969847E-12","0","0","4997","139614.27296891858","ACADVL;ECHS1;ACADL;ACADS","FA-Oxidation","bioplanet"
"7","PPAR signaling pathway","5/69","2.3417544244199048E-11","1.438506289286513E-10","0","0","518.95833333333337","12702.821089703522","CPT1A;CPT2;ACADL;ACSL1;ACSL3","FA-Oxidation","bioplanet"
"8","Metabolism","8/1615","1.7787832462925605E-9","9.5609599488225134E-9","0","0","147080","2963270.2194565972","CPT1A;ACADVL;ECHS1;CPT2;ACADL;ACSL1;ACSL3;ACADS","FA-Oxidation","bioplanet"
"9","Activated AMPK stimulation of fatty-acid oxidation in muscle","3/18","3.4176008683086065E-8","1.6328537481918897E-7","0","0","799.08","13737.577149046836","CPT1A;CPT2;ACSL1","FA-Oxidation","bioplanet"
"10","Fatty acid biosynthesis","3/25","9.620457240600272E-8","4.1367966134581171E-7","0","0","544.63636363636363","8799.5747818751188","ECHS1;ACSL1;ACSL3","FA-Oxidation","bioplanet"
"11","Beta-oxidation of myristoyl-CoA to lauroyl-CoA","2/5","1.3991087462114677E-6","5.0134730072577593E-6","0","0","2221","29938.358472423224","ACADVL;ACADL","FA-Oxidation","bioplanet"
"12","Beta-oxidation of lauroyl-CoA to decanoyl-CoA","2/5","1.3991087462114677E-6","5.0134730072577593E-6","0","0","2221","29938.358472423224","ECHS1;ACADL","FA-Oxidation","bioplanet"
"13","Adipocytokine signaling pathway","3/67","1.9881177381481777E-6","6.5760817492593566E-6","0","0","186.82499999999999","2452.6988000710403","CPT1A;ACSL1;ACSL3","FA-Oxidation","bioplanet"
"14","Import of palmitoyl-CoA into the mitochondrial matrix","2/8","3.9152037969490335E-6","1.202526880491489E-5","0","0","1110.3333333333333","13824.364138043773","CPT1A;CPT2","FA-Oxidation","bioplanet"
"15","Lipid metabolism regulation by peroxisome proliferator-activated receptor alpha (PPAR-alpha)","3/112","9.3794557126589772E-6","2.6887773042955734E-5","0","0","109.44770642201834","1267.0748739505509","CPT1A;CPT2;ACSL1","FA-Oxidation","bioplanet"
"16","Fatty acyl-CoA biosynthesis","2/18","2.1351432280008236E-5","5.7381974252522134E-5","0","0","416.16666666666669","4475.619360309719","ACSL1;ACSL3","FA-Oxidation","bioplanet"
"17","Butanoate metabolism","2/30","6.0560078897239473E-5","1.5318137603419395E-4","0","0","237.66666666666666","2308.1888742091614","ECHS1;ACADS","FA-Oxidation","bioplanet"
"18","Triglyceride biosynthesis","2/38","9.7714514143369419E-5","2.3342911712027138E-4","0","0","184.77777777777777","1706.1383034595449","ACSL1;ACSL3","FA-Oxidation","bioplanet"
"19","Valine, leucine and isoleucine degradation","2/44","1.313331865142055E-4","2.9544064529055835E-4","0","0","158.33333333333334","1415.1474004141428","ECHS1;ACADS","FA-Oxidation","bioplanet"
"20","HNF3B pathway","2/45","1.3741425362351551E-4","2.9544064529055835E-4","0","0","154.64341085271317","1375.1681463191144","CPT1A;ACADVL","FA-Oxidation","bioplanet"
"21","Peroxisome","2/78","4.1408229311365571E-4","8.4788279066129501E-4","0","0","87.350877192982452","680.41492594532428","ACSL1;ACSL3","FA-Oxidation","bioplanet"
"22","Mitochondrial beta-oxidation of unsaturated fatty acids","1/6","2.3978589692277472E-3","4.6867243489451425E-3","0","0","571.05714285714282","3445.2899826083253","ACADL","FA-Oxidation","bioplanet"
"23","Fatty acid elongation in mitochondria","1/8","3.1960315919264243E-3","5.9751894979494019E-3","0","0","407.85714285714283","2343.4840743955892","ECHS1","FA-Oxidation","bioplanet"
"24","Alpha-linolenic (omega3) and linoleic (omega6) acid metabolism","1/11","4.3922443961630329E-3","7.5546603614004169E-3","0","0","285.45714285714286","1549.4370877511301","ACSL1","FA-Oxidation","bioplanet"
"25","Reversal of insulin resistance by leptin","1/11","4.3922443961630329E-3","7.5546603614004169E-3","0","0","285.45714285714286","1549.4370877511301","CPT1A","FA-Oxidation","bioplanet"
"26","Beta-alanine metabolism","1/22","8.7676277457428009E-3","1.4500307425651554E-2","0","0","135.85714285714286","643.51303491498368","ECHS1","FA-Oxidation","bioplanet"
"27","RORA activates circadian expression","1/27","1.0750872860949598E-2","1.7121760482253064E-2","0","0","109.7032967032967","497.25962914000377","CPT1A","FA-Oxidation","bioplanet"
"28","Propanoate metabolism","1/33","1.3126184702817524E-2","2.0158069365041199E-2","0","0","89.107142857142861","386.1142784895618","ECHS1","FA-Oxidation","bioplanet"
"29","Linoleic acid metabolism","1/35","1.3916845835577172E-2","2.0635323135510981E-2","0","0","83.857142857142861","358.46037529540138","ACSL1","FA-Oxidation","bioplanet"
"30","Lysine degradation","1/44","1.746796731842876E-2","2.5037419823081223E-2","0","0","66.275747508305642","268.2435666902731","ECHS1","FA-Oxidation","bioplanet"
"31","Activation of chaperones by IRE1 alpha","1/48","1.9042648937520508E-2","2.6413996913334899E-2","0","0","60.623100303951368","240.13259456270143","ACADVL","FA-Oxidation","bioplanet"
"32","Mechanism of gene regulation by peroxisome proliferators via PPAR-alpha","1/57","2.2577612257970867E-2","2.9930211431682355E-2","0","0","50.857142857142854","192.78907770536534","CPT1A","FA-Oxidation","bioplanet"
"33","Tryptophan metabolism","1/58","2.2969697145244598E-2","2.9930211431682355E-2","0","0","49.962406015037594","188.53710846919242","ECHS1","FA-Oxidation","bioplanet"
"34","Circadian rhythm","1/62","2.4536660972781548E-2","3.1031659465576664E-2","0","0","46.676814988290396","173.05834842078664","CPT1A","FA-Oxidation","bioplanet"
"35","AMPK signaling","1/68","2.6882984076400464E-2","3.3027666151006288E-2","0","0","42.484008528784649","153.63329523076956","CPT1A","FA-Oxidation","bioplanet"
"36","Unfolded protein response","1/79","3.1171754372239124E-2","3.7232928833507845E-2","0","0","36.472527472527474","126.49558455333695","ACADVL","FA-Oxidation","bioplanet"
"37","Leptin influence on immune response","1/110","4.3169441381931593E-2","5.0169891335758332E-2","0","0","26.05897771952818","81.893527348965407","CPT1A","FA-Oxidation","bioplanet"
"38","Diabetes pathways","1/137","5.3512913216514357E-2","6.0554086008160979E-2","0","0","20.857142857142858","61.066216244013823","ACADVL","FA-Oxidation","bioplanet"
"39","Interleukin-4 regulation of apoptosis","1/267","0.10195750503475176","0.11241468503831606","0","0","10.593984962406015","24.188177671180238","CPT2","FA-Oxidation","bioplanet"
"40","Oncostatin M","1/311","0.11785522323100128","0.12669436497332637","0","0","9.0700460829493093","19.394464388314972","ACSL3","FA-Oxidation","bioplanet"
"41","TGF-beta regulation of extracellular matrix","1/565","0.20490514518483627","0.21490051812068195","0","0","4.9209726443768993","7.8007657613944312","ACSL3","FA-Oxidation","bioplanet"
"42","Disease","1/674","0.23989273938890673","0.24560447127911877","0","0","4.1008278497134363","5.8541916444105837","ACADVL","FA-Oxidation","bioplanet"
"43","Interleukin-2 signaling pathway","1/847","0.29266050808423211","0.29266050808423211","0","0","3.2330293819655522","3.972559044556689","ACSL1","FA-Oxidation","bioplanet"
