"","Term","Overlap","P-value","Adjusted P-value","Old P-value","Old Adjusted P-value","Odds Ratio","Combined Score","Genes","Source_Sheet","Source_DB"
"1","GPCRs, Class C Metabotropic glutamate, pheromone WP501","8/15","1.5751784375170337E-20","4.8830531563028042E-19","0","0","1267.7460317460318","57805.838349731246","GRM3;GRM2;GRM5;GRM4;GRM7;GRM6;GRM8;GRM1","Gluconeogenesis","wikipathways"
"2","Common Pathways Underlying Drug Addiction WP2636","8/42","2.8284227556556856E-16","4.3840552712663124E-15","0","0","260.65359477124184","9331.8267542450867","GRIA1;GRIA2;GRM5;GRIN2A;GRIA3;GRM1;GRIN1;GRIA4","Gluconeogenesis","wikipathways"
"3","Synaptic signaling pathways associated with autism spectrum disorder WP4539","8/50","1.2783914223732442E-15","1.3210044697856859E-14","0","0","210.92063492063491","7233.1379931454367","GRIN3B;GRIN2A;GRIN3A;GRIN2C;GRIN2B;GRM1;GRIN2D;GRIN1","Gluconeogenesis","wikipathways"
"4","Disruption of postsynaptic signaling by CNV WP4875","6/33","2.8041563872999798E-12","2.1732212001574845E-11","0","0","221.63333333333333","5895.4285759300392","GRIN2A;GRIN2C;GRIN2B;GRM1;GRIN2D;GRIN1","Gluconeogenesis","wikipathways"
"5","Vitamin D-sensitive calcium signaling in depression WP4698","6/41","1.13064944477534E-11","7.0100265576071081E-11","0","0","170.90571428571428","4307.7885620137758","GRM5;GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","wikipathways"
"6","Phosphodiesterases in neuronal function WP4222","6/53","5.7138619479437547E-11","2.8349341802037167E-10","0","0","127.19361702127659","2999.9302538967586","GRIA1;GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","wikipathways"
"7","PKC-gamma calcium signaling pathway in ataxia WP4760","5/22","6.4014642778793595E-11","2.8349341802037167E-10","0","0","279.50980392156862","6560.6287564142895","GRIA1;GRIA2;GRM1;GRIA3;GRIA4","Gluconeogenesis","wikipathways"
"8","Fragile X Syndrome  WP4549","7/121","1.4883718528670387E-10","5.767440929859775E-10","0","0","64.18282548476455","1452.3397657188127","GRIA1;GRIA2;GRM5;GRIN2A;GRIN2B;GRM1;GRIN1","Gluconeogenesis","wikipathways"
"9","NO/cGMP/PKG mediated Neuroprotection WP4008","5/47","3.6483350044331255E-9","1.2566487237491878E-8","0","0","112.99319727891157","2195.3442578016629","GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","wikipathways"
"10","MECP2 and Associated Rett Syndrome WP3584","5/72","3.255764346761215E-8","1.0092869474959767E-7","0","0","70.742714996446338","1219.6223520911738","GRIA1;GRID1;GRIA3;GRIN1;GRIA4","Gluconeogenesis","wikipathways"
"11","Alzheimer's disease WP2059","5/83","6.6913976952166351E-8","1.8857575322883245E-7","0","0","60.73260073260073","1003.2939381651508","GRIN2A;GRIN2C;GRIN2B;GRIN2D;GRIN1","Gluconeogenesis","wikipathways"
"12","Brain-derived neurotrophic factor (BDNF) signaling pathway WP2380","5/144","1.0508329221773858E-6","2.7146517156249133E-6","0","0","33.975676601575884","467.70669912941042","GRIA1;GRIA2;GRIN2B;GRIA3;GRIN1","Gluconeogenesis","wikipathways"
"13","MTHFR deficiency WP4288","3/25","4.4010050050353324E-6","1.0494704242776562E-5","0","0","118.29249011857708","1458.9814395139299","GRIN2A;GRIN2D;GRIN1","Gluconeogenesis","wikipathways"
"14","Splicing factor NOVA regulated synaptic proteins WP4148","3/42","2.1647377956110441E-5","4.7933479759958835E-5","0","0","66.672240802675589","716.10161780621377","GRIK2;GRIN2B;GRIN1","Gluconeogenesis","wikipathways"
"15","Ras signaling WP4223","3/184","1.7043384996781521E-3","3.4233391386729426E-3","0","0","14.263511890463608","90.923872241332589","GRIN2A;GRIN2B;GRIN1","Gluconeogenesis","wikipathways"
"16","Rett syndrome causing genes WP4312","2/48","1.7668847167344221E-3","3.4233391386729426E-3","0","0","36.10144927536232","228.83038390410115","GRIN2A;GRIN2B","Gluconeogenesis","wikipathways"
"17","Melanoma WP4685","2/68","3.5117758263918473E-3","6.4038265069498394E-3","0","0","25.136363636363637","142.06151318674151","GRM3;GRIN2A","Gluconeogenesis","wikipathways"
"18","GPCRs, Other WP117","2/91","6.1982979638680012E-3","1.0674846493328225E-2","0","0","18.618913857677903","94.648886393878342","GRM8;GRM1","Gluconeogenesis","wikipathways"
"19","Serotonin and anxiety-related events WP3944","1/13","1.6773661823445914E-2","2.7367553501411755E-2","0","0","66.540000000000006","272.01188501169923","GRIN2D","Gluconeogenesis","wikipathways"
"20","ERK Pathway in Huntington's Disease WP3853","1/15","1.9330101754838777E-2","2.9961657720000104E-2","0","0","57.028571428571432","225.03997361391211","GRM1","Gluconeogenesis","wikipathways"
"21","Serotonin and anxiety WP3947","1/17","2.188015065344143E-2","3.2299270012223068E-2","0","0","49.895000000000003","190.70744238188936","GRM1","Gluconeogenesis","wikipathways"
"22","15q13.3 copy number variation syndrome WP4942","1/19","2.442382371261493E-2","3.4415387958684679E-2","0","0","44.346666666666664","164.6235293172426","GRM6","Gluconeogenesis","wikipathways"
"23","Purine metabolism and related disorders WP4224","1/22","2.8227411859507716E-2","3.8045642071510399E-2","0","0","38.005714285714284","135.5839309094672","GRM5","Gluconeogenesis","wikipathways"
"24","BDNF-TrkB Signaling WP3676","1/34","4.3299673200093314E-2","5.5507262602489178E-2","0","0","24.170909090909092","75.887232515870664","GRIN1","Gluconeogenesis","wikipathways"
"25","Sleep regulation WP3591","1/38","4.8273621231532039E-2","5.5507262602489178E-2","0","0","21.553513513513515","65.325897756806043","GRIN2A","Gluconeogenesis","wikipathways"
"26","Amyotrophic lateral sclerosis (ALS) WP2447","1/38","4.8273621231532039E-2","5.5507262602489178E-2","0","0","21.553513513513515","65.325897756806043","GRIA1","Gluconeogenesis","wikipathways"
"27","IL-18 signaling pathway WP4754","2/272","4.8345035169909928E-2","5.5507262602489178E-2","0","0","6.0814814814814815","18.423189812994789","GRM7;GRIN2B","Gluconeogenesis","wikipathways"
"28","3q29 copy number variation syndrome WP4906","1/63","7.8802053875780986E-2","8.7245131076757521E-2","0","0","12.846451612903225","32.64047260238857","GRIA1","Gluconeogenesis","wikipathways"
"29","Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680","1/66","8.2401554194611037E-2","8.8084420001135935E-2","0","0","12.251692307692307","30.582073768584642","GRIA1","Gluconeogenesis","wikipathways"
"30","Spinal Cord Injury WP2431","1/118","0.14268546642654423","0.1474416486407624","0","0","6.7887179487179488","13.21839830149686","GRIN1","Gluconeogenesis","wikipathways"
"31","Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706","1/158","0.18644734444168432","0.18644734444168432","0","0","5.0489171974522291","8.480193714632895","GRIN1","Gluconeogenesis","wikipathways"
